index,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,duration_min,duration_hr,member_age,month,date,day,hour,timeofweek,dayperiod,member_age_group,zip
1495281,226,2018-10-16 17:02:31.1620,2018-10-16 17:06:17.414,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.776639200000005,-122.3955263,79.0,7th St at Brannan St,37.773491899999996,-122.40367250000001,184,Subscriber,1988.0,Male,No,3.77,0.06,31,October,16,Tuesday,17,Weekday,Afternoon,Young Adult,94107
163362,143,2018-02-09 17:46:36.0070,2018-02-09 17:48:59.973,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,14.0,Clay St at Battery St,37.795001,-122.39997,1813,Subscriber,1973.0,Male,No,2.38,0.04,46,February,09,Friday,17,Weekday,Afternoon,Adult,94133
156333,1869,2018-02-12 08:42:39.1020,2018-02-12 09:13:48.567,29.0,O'Farrell St at Divisadero St,37.7824046019341,-122.43944585323335,11.0,Davis St at Jackson St,37.79728,-122.398436,2354,Subscriber,1992.0,Female,No,31.15,0.52,27,February,12,Monday,9,Weekday,Morning,Young Adult,94115
68469,577,2018-01-11 16:04:27.1630,2018-01-11 16:14:04.550,6.0,The Embarcadero at Sansome St,37.80477,-122.40323400000001,20.0,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,3743,Subscriber,1975.0,Male,No,9.62,0.16,44,January,11,Thursday,16,Weekday,Afternoon,Adult,94111
82051,5781,2018-01-05 17:29:30.5280,2018-01-05 19:05:52.302,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.40844488143921,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,120,Customer,1990.0,Male,No,96.35,1.61,29,January,05,Friday,19,Weekday,Evening,Young Adult,94102
1006679,273,2018-07-03 09:20:28.4950,2018-07-03 09:25:01.517,144.0,Precita Park,37.747299600000005,-122.41140290000001,144.0,Precita Park,37.747299600000005,-122.41140290000001,2237,Subscriber,1979.0,Female,No,4.55,0.08,40,July,03,Tuesday,9,Weekday,Morning,Adult,94110
66430,334,2018-01-12 07:54:27.0000,2018-01-12 08:00:01.906,188.0,Dover St at 57th St,37.8426295,-122.267738,241.0,Ashby BART Station,37.8524766,-122.2702132,258,Subscriber,1976.0,Male,No,5.57,0.09,43,January,12,Friday,8,Weekday,Morning,Adult,94609
888242,713,2018-07-21 10:34:09.1200,2018-07-21 10:46:02.904,278.0,The Alameda at Bush St,37.3319323,-121.9048882,35.0,Cahill Park,37.329118668147785,-121.90457582473756,361,Subscriber,1992.0,Male,No,11.88,0.2,27,July,21,Saturday,10,Weekend,Morning,Young Adult,95126
682660,344,2018-06-22 08:12:28.0080,2018-06-22 08:18:12.585,137.0,Jersey St at Castro St,37.750506,-122.4339496,134.0,Valencia St at 24th St,37.7524278,-122.42062779999999,3328,Subscriber,1993.0,Male,No,5.73,0.1,26,June,22,Friday,8,Weekday,Morning,Young Adult,94114
762107,324,2018-06-10 10:09:27.9840,2018-06-10 10:14:52.365,168.0,Alcatraz Ave at Shattuck Ave,37.849594967776646,-122.26556897163393,241.0,Ashby BART Station,37.8524766,-122.2702132,11,Subscriber,1965.0,Female,No,5.4,0.09,54,June,10,Sunday,10,Weekend,Morning,Adult,94609
577260,568,2018-05-08 21:22:21.8560,2018-05-08 21:31:50.435,121.0,Mission Playground,37.75921029999999,-122.4213392,138.0,Jersey St at Church St,37.7509004,-122.42741140000001,2411,Subscriber,1973.0,Female,No,9.47,0.16,46,May,08,Tuesday,21,Weekday,Evening,Adult,94110
1100841,359,2018-08-18 12:32:58.7610,2018-08-18 12:38:57.804,248.0,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949,169.0,Bushrod Park,37.846515600000004,-122.26530430000001,1385,Customer,1980.0,Male,No,5.98,0.1,39,August,18,Saturday,12,Weekend,Morning,Adult,94705
686242,240,2018-06-21 17:21:24.5460,2018-06-21 17:25:24.883,20.0,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,27.0,Beale St at Harrison St,37.7880593,-122.39186480000001,410,Subscriber,1985.0,Male,No,4.0,0.07,34,June,21,Thursday,17,Weekday,Afternoon,Young Adult,94111
1780320,493,2018-12-18 10:40:41.9990,2018-12-18 10:48:55.102,350.0,8th St at Brannan St,37.77143136292109,-122.40578681230544,59.0,S Van Ness Ave at Market St,37.774814,-122.418954,4436,Subscriber,1987.0,Male,No,8.22,0.14,32,December,18,Tuesday,10,Weekday,Morning,Young Adult,94103
1780495,978,2018-12-18 10:00:54.7860,2018-12-18 10:17:13.001,323.0,Broadway at Kearny,37.79801364395978,-122.40595042705534,88.0,11th St at Bryant St,37.770029799999996,-122.41172579999999,5350,Subscriber,1985.0,Male,No,16.3,0.27,34,December,18,Tuesday,10,Weekday,Morning,Young Adult,94133
230452,303,2018-03-25 16:23:12.9270,2018-03-25 16:28:16.508,72.0,Page St at Scott St,37.772406,-122.4356498,86.0,Market St at Dolores St,37.76930529999999,-122.4268256,3073,Subscriber,1973.0,Male,No,5.05,0.08,46,March,25,Sunday,16,Weekend,Afternoon,Adult,94117
1849277,768,2018-12-04 15:15:53.2140,2018-12-04 15:28:41.486,59.0,S Van Ness Ave at Market St,37.774814,-122.418954,139.0,Garfield Square (25th St at Harrison St),37.751017100000006,-122.4119009,3658,Subscriber,1995.0,Other,No,12.8,0.21,24,December,04,Tuesday,15,Weekday,Afternoon,Young Adult,94103
1755653,340,2018-12-22 21:37:02.1360,2018-12-22 21:42:42.908,296.0,5th St at Virginia St,37.3259984,-121.87711999999999,299.0,Bestor Art Park,37.3236779,-121.8741186,3890,Subscriber,1996.0,Female,Yes,5.67,0.09,23,December,22,Saturday,21,Weekend,Evening,Young Adult,95112
1426789,297,2018-10-26 19:15:10.2600,2018-10-26 19:20:07.451,89.0,Division St at Potrero Ave,37.76921786152374,-122.40764558315277,77.0,11th St at Natoma St,37.773506899999994,-122.4160402,1245,Subscriber,1994.0,Male,No,4.95,0.08,25,October,26,Friday,19,Weekday,Evening,Young Adult,94103
56123,611,2018-01-16 08:33:10.6200,2018-01-16 08:43:21.985,6.0,The Embarcadero at Sansome St,37.80477,-122.40323400000001,22.0,Howard St at Beale St,37.789756,-122.39464299999999,1428,Subscriber,1979.0,Male,No,10.18,0.17,40,January,16,Tuesday,8,Weekday,Morning,Adult,94111
48787,712,2018-01-17 18:51:31.1340,2018-01-17 19:03:24.132,134.0,Valencia St at 24th St,37.7524278,-122.42062779999999,95.0,Sanchez St at 15th St,37.7662185,-122.4310597,485,Subscriber,1991.0,Female,No,11.87,0.2,28,January,17,Wednesday,19,Weekday,Evening,Young Adult,94110
1416600,565,2018-10-29 09:19:09.2780,2018-10-29 09:28:34.613,17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.39708600000002,81.0,Berry St at 4th St,37.77588,-122.39317,4336,Subscriber,1970.0,Other,No,9.42,0.16,49,October,29,Monday,9,Weekday,Morning,Adult,94105
1704012,853,2018-11-05 18:22:59.5710,2018-11-05 18:37:13.355,101.0,Potrero Ave at 15th St (Temporary Location),37.766628999999995,-122.407706,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,3614,Subscriber,1974.0,Male,No,14.22,0.24,45,November,05,Monday,18,Weekday,Afternoon,Adult,94103
897136,768,2018-07-19 20:06:12.1710,2018-07-19 20:19:00.710,8.0,The Embarcadero at Vallejo St,37.799953,-122.398525,50.0,2nd St at Townsend St,37.780526,-122.39028799999998,920,Subscriber,1986.0,Female,No,12.8,0.21,33,July,19,Thursday,20,Weekday,Evening,Young Adult,94111
309840,498,2018-03-02 08:11:14.2520,2018-03-02 08:19:32.402,121.0,Mission Playground,37.75921029999999,-122.4213392,89.0,Division St at Potrero Ave,37.76921786152374,-122.40764558315277,446,Subscriber,1985.0,Male,No,8.3,0.14,34,March,02,Friday,8,Weekday,Morning,Young Adult,94110
895236,72,2018-07-20 08:43:23.0840,2018-07-20 08:44:35.745,201.0,10th St at Fallon St,37.797672799999994,-122.2629973,163.0,Lake Merritt BART Station,37.7973195,-122.26531990000001,1389,Subscriber,1952.0,Male,No,1.2,0.02,67,July,20,Friday,8,Weekday,Morning,Senior,94607
440641,226,2018-04-02 09:12:06.0700,2018-04-02 09:15:52.725,312.0,San Jose Diridon Station,37.329732,-121.90178200000001,313.0,Almaden Blvd at San Fernando St,37.331415,-121.8932,3615,Subscriber,1976.0,Male,No,3.77,0.06,43,April,02,Monday,9,Weekday,Morning,Adult,95110
1775274,989,2018-12-19 07:46:09.0630,2018-12-19 08:02:38.936,350.0,8th St at Brannan St,37.77143136292109,-122.40578681230544,23.0,The Embarcadero at Steuart St,37.791464000000005,-122.391034,2293,Subscriber,1990.0,Female,No,16.48,0.27,29,December,19,Wednesday,8,Weekday,Morning,Young Adult,94103
1761559,248,2018-12-21 11:05:29.7600,2018-12-21 11:09:37.818,175.0,49th St at Telegraph Ave,37.8359455,-122.2623663,176.0,MacArthur BART Station,37.82840997305853,-122.26631462574005,2083,Subscriber,,,No,4.13,0.07,0,December,21,Friday,11,Weekday,Morning,Children,94609
1780108,4229,2018-12-18 10:33:27.8920,2018-12-18 11:43:57.681,263.0,Channing Way at San Pablo Ave,37.862827100000004,-122.29023049999999,246.0,Berkeley Civic Center,37.869059899999996,-122.270556,3545,Customer,1988.0,Female,No,70.48,1.17,31,December,18,Tuesday,11,Weekday,Morning,Young Adult,94710
911758,700,2018-07-18 07:47:23.6710,2018-07-18 07:59:03.991,76.0,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,47.0,4th St at Harrison St,37.78095459960753,-122.39974915981293,3337,Subscriber,1987.0,Female,No,11.67,0.19,32,July,18,Wednesday,7,Weekday,Morning,Young Adult,94103
1472251,497,2018-10-19 17:05:46.9270,2018-10-19 17:14:04.675,101.0,Potrero Ave at 15th St (Temporary Location),37.766628999999995,-122.407706,108.0,16th St Mission BART,37.76471008581914,-122.41995692253113,1453,Subscriber,1991.0,Male,No,8.28,0.14,28,October,19,Friday,17,Weekday,Afternoon,Young Adult,94103
415818,128,2018-04-08 16:49:25.1620,2018-04-08 16:51:34.009,4.0,Cyril Magnin St at Ellis St,37.78588062694133,-122.4089150084319,45.0,5th St at Howard St,37.781752000000004,-122.40512700000001,3051,Subscriber,1967.0,Male,Yes,2.13,0.04,52,April,08,Sunday,16,Weekend,Afternoon,Adult,94102
